nm	mu_a(1/m)	mu_a(1/cm)
718	0.351	0.00351
719	0.358	0.00358
720	0.367	0.00367
721	0.376	0.00376
722	0.383	0.00383
723	0.39	0.0039
724	0.401	0.00401
725	0.415	0.00415
726	0.43	0.0043
727	0.447	0.00447
728	0.463	0.00463
729	0.48	0.0048
730	0.499	0.00499
731	0.516	0.00516
732	0.535	0.00535
733	0.552	0.00552
734	0.564	0.00564
735	0.576	0.00576
736	0.589	0.00589
737	0.6	0.006
738	0.616	0.00616
739	0.636	0.00636
740	0.654	0.00654
741	0.68	0.0068
742	0.707	0.00707
743	0.735	0.00735
744	0.768	0.00768
745	0.801	0.00801
746	0.837	0.00837
747	0.874	0.00874
748	0.908	0.00908
749	0.941	0.00941
750	0.972	0.00972
751	1.001	0.01001
752	1.03	0.0103
753	1.059	0.01059
754	1.089	0.01089
755	1.12	0.0112
756	1.155	0.01155
757	1.19	0.0119
758	1.227	0.01227
759	1.258	0.01258
760	1.278	0.01278
761	1.289	0.01289
762	1.29	0.0129
763	1.273	0.01273
764	1.249	0.01249
765	1.206	0.01206
766	1.153	0.01153
767	1.089	0.01089
768	1.021	0.01021
769	0.948	0.00948
770	0.871	0.00871
771	0.793	0.00793
772	0.719	0.00719
773	0.653	0.00653
774	0.596	0.00596
775	0.553	0.00553
776	0.515	0.00515
777	0.481	0.00481
778	0.451	0.00451
779	0.426	0.00426
780	0.409	0.00409
781	0.391	0.00391
782	0.378	0.00378
783	0.366	0.00366
784	0.36	0.0036
785	0.357	0.00357
786	0.355	0.00355
787	0.353	0.00353
788	0.349	0.00349
789	0.346	0.00346
790	0.346	0.00346
791	0.347	0.00347
792	0.347	0.00347
793	0.347	0.00347
794	0.352	0.00352
795	0.359	0.00359
796	0.369	0.00369
797	0.379	0.00379
798	0.387	0.00387
799	0.393	0.00393
800	0.403	0.00403
801	0.413	0.00413
802	0.424	0.00424
803	0.434	0.00434
804	0.442	0.00442
805	0.454	0.00454
806	0.467	0.00467
807	0.482	0.00482
808	0.497	0.00497
809	0.511	0.00511
810	0.527	0.00527
811	0.547	0.00547
812	0.567	0.00567
813	0.583	0.00583
814	0.594	0.00594
815	0.603	0.00603
816	0.615	0.00615
817	0.633	0.00633
818	0.654	0.00654
819	0.674	0.00674
820	0.691	0.00691
821	0.708	0.00708
822	0.724	0.00724
823	0.74	0.0074
824	0.758	0.00758
825	0.775	0.00775
826	0.786	0.00786
827	0.796	0.00796
828	0.799	0.00799
829	0.802	0.00802
830	0.803	0.00803
831	0.803	0.00803
832	0.801	0.00801
833	0.794	0.00794
834	0.785	0.00785
835	0.775	0.00775
836	0.764	0.00764
837	0.757	0.00757
838	0.751	0.00751
839	0.739	0.00739
840	0.726	0.00726
841	0.715	0.00715
842	0.703	0.00703
843	0.692	0.00692
844	0.685	0.00685
845	0.678	0.00678
846	0.669	0.00669
847	0.661	0.00661
848	0.651	0.00651
849	0.643	0.00643
850	0.637	0.00637
851	0.633	0.00633
852	0.632	0.00632
853	0.631	0.00631
854	0.633	0.00633
855	0.639	0.00639
856	0.647	0.00647
857	0.656	0.00656
858	0.662	0.00662
859	0.666	0.00666
860	0.674	0.00674
861	0.68	0.0068
862	0.69	0.0069
863	0.705	0.00705
864	0.724	0.00724
865	0.751	0.00751
866	0.786	0.00786
867	0.822	0.00822
868	0.86	0.0086
869	0.899	0.00899
870	0.938	0.00938
871	0.979	0.00979
872	1.022	0.01022
873	1.074	0.01074
874	1.133	0.01133
875	1.198	0.01198
876	1.264	0.01264
877	1.345	0.01345
878	1.43	0.0143
879	1.527	0.01527
880	1.636	0.01636
881	1.752	0.01752
882	1.867	0.01867
883	1.992	0.01992
884	2.121	0.02121
885	2.262	0.02262
886	2.414	0.02414
887	2.581	0.02581
888	2.754	0.02754
889	2.932	0.02932
890	3.116	0.03116
891	3.305	0.03305
892	3.491	0.03491
893	3.674	0.03674
894	3.833	0.03833
895	3.983	0.03983
896	4.121	0.04121
897	4.256	0.04256
898	4.384	0.04384
899	4.506	0.04506
900	4.633	0.04633
901	4.766	0.04766
902	4.915	0.04915
903	5.078	0.05078
904	5.267	0.05267
905	5.472	0.05472
906	5.721	0.05721
907	5.994	0.05994
908	6.316	0.06316
909	6.663	0.06663
910	7.046	0.07046
911	7.438	0.07438
912	7.837	0.07837
913	8.234	0.08234
914	8.621	0.08621
915	8.994	0.08994
916	9.354	0.09354
917	9.683	0.09683
918	10	0.1
919	10.32	0.1032
920	10.65	0.1065
921	10.99	0.1099
922	11.33	0.1133
923	11.67	0.1167
924	12	0.12
925	12.31	0.1231
926	12.6	0.126
927	12.82	0.1282
928	12.99	0.1299
929	13.07	0.1307
930	13.1	0.131
931	12.99	0.1299
932	12.83	0.1283
933	12.53	0.1253
934	12.18	0.1218
935	11.75	0.1175
936	11.26	0.1126
937	10.7	0.107
938	10.08	0.1008
939	9.433	0.09433
940	8.754	0.08754
941	8.088	0.08088
942	7.446	0.07446
943	6.822	0.06822
944	6.25	0.0625
945	5.704	0.05704
946	5.234	0.05234
947	4.802	0.04802
948	4.445	0.04445
949	4.109	0.04109
950	3.799	0.03799
951	3.519	0.03519
952	3.274	0.03274
953	3.046	0.03046
954	2.852	0.02852
955	2.666	0.02666
956	2.504	0.02504
957	2.358	0.02358
958	2.242	0.02242
959	2.133	0.02133
960	2.047	0.02047
961	1.975	0.01975
962	1.917	0.01917
963	1.86	0.0186
964	1.808	0.01808
965	1.753	0.01753
966	1.693	0.01693
967	1.639	0.01639
968	1.589	0.01589
969	1.554	0.01554
970	1.528	0.01528
971	1.51	0.0151
972	1.491	0.01491
973	1.463	0.01463
974	1.431	0.01431
975	1.413	0.01413
976	1.408	0.01408
977	1.414	0.01414
978	1.421	0.01421
979	1.423	0.01423
980	1.417	0.01417
981	1.407	0.01407
982	1.406	0.01406
983	1.42	0.0142
984	1.441	0.01441
985	1.481	0.01481
986	1.524	0.01524
987	1.564	0.01564
988	1.607	0.01607
989	1.652	0.01652
990	1.716	0.01716
991	1.793	0.01793
992	1.891	0.01891
993	1.994	0.01994
994	2.087	0.02087
995	2.178	0.02178
996	2.272	0.02272
997	2.366	0.02366
998	2.464	0.02464
999	2.56	0.0256
1000	2.654	0.02654
